channel,eventNum,format,idHex,peakRssi,timestamp,type
907.6,62,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:34.651-0500","CUSTOM"
909.4,63,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:35.269-0500","CUSTOM"
915.7,64,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:36.273-0500","CUSTOM"
912.55,65,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:36.456-0500","CUSTOM"
908.05,66,"epc","1111111111111111111111ff",-58,"2025-06-03T10:20:37.276-0500","CUSTOM"
908.05,67,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:37.468-0500","CUSTOM"
912.1,68,"epc","1111111111111111111111ff",-56,"2025-06-03T10:20:38.288-0500","CUSTOM"
919.3,69,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:39.292-0500","CUSTOM"
903.1,70,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:39.929-0500","CUSTOM"
921.55,71,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:40.294-0500","CUSTOM"
914.35,72,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:41.297-0500","CUSTOM"
914.35,73,"epc","1111111111111111111111ee",-54,"2025-06-03T10:20:41.389-0500","CUSTOM"
924.7,74,"epc","1111111111111111111111ff",-56,"2025-06-03T10:20:42.301-0500","CUSTOM"
904.45,75,"epc","1111111111111111111111ee",-54,"2025-06-03T10:20:42.716-0500","CUSTOM"
926.95,76,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:43.303-0500","CUSTOM"
908.95,77,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:44.206-0500","CUSTOM"
908.95,78,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:44.317-0500","CUSTOM"
916.6,79,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:45.311-0500","CUSTOM"
905.35,80,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:45.392-0500","CUSTOM"
923.35,81,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:46.313-0500","CUSTOM"
913.9,82,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:46.962-0500","CUSTOM"
913.9,83,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:47.317-0500","CUSTOM"
913.0,84,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:47.965-0500","CUSTOM"
920.65,85,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:48.320-0500","CUSTOM"
911.2,86,"epc","1111111111111111111111ee",-57,"2025-06-03T10:20:48.979-0500","CUSTOM"
904.0,87,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:49.323-0500","CUSTOM"
908.5,88,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:49.991-0500","CUSTOM"
905.8,89,"epc","1111111111111111111111ff",-62,"2025-06-03T10:20:50.325-0500","CUSTOM"
906.25,90,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:51.004-0500","CUSTOM"
916.15,91,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:51.328-0500","CUSTOM"
913.45,92,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:52.027-0500","CUSTOM"
907.15,93,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:52.331-0500","CUSTOM"
909.85,94,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:53.233-0500","CUSTOM"
909.85,95,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:53.334-0500","CUSTOM"
907.6,96,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:54.247-0500","CUSTOM"
907.6,97,"epc","1111111111111111111111ff",-61,"2025-06-03T10:20:54.339-0500","CUSTOM"
918.4,98,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:55.342-0500","CUSTOM"
912.55,99,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:56.071-0500","CUSTOM"
912.55,100,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:56.354-0500","CUSTOM"
908.05,101,"epc","1111111111111111111111ee",-56,"2025-06-03T10:20:57.083-0500","CUSTOM"
924.25,102,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:57.346-0500","CUSTOM"
919.75,103,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:58.351-0500","CUSTOM"
921.1,104,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:59.354-0500","CUSTOM"
903.1,105,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:59.516-0500","CUSTOM"
914.8,106,"epc","1111111111111111111111ff",-58,"2025-06-03T10:21:00.357-0500","CUSTOM"
